,genres
0,['documentation']
1,"['crime', 'drama']"
2,"['comedy', 'fantasy']"
3,['comedy']
4,['horror']
5,"['comedy', 'european']"
6,"['thriller', 'crime', 'action']"
7,"['drama', 'music', 'romance', 'family']"
8,"['romance', 'drama']"
9,"['drama', 'crime', 'action']"
10,"['western', 'action', 'european']"
11,"['war', 'action', 'drama']"
12,"['comedy', 'animation', 'action', 'fantasy', 'family']"
13,"['comedy', 'documentation']"
14,"['western', 'crime']"
15,"['romance', 'comedy', 'music']"
16,"['drama', 'crime', 'comedy']"
17,['documentation']
18,"['documentation', 'history', 'european']"
19,"['comedy', 'documentation', 'music']"
20,"['drama', 'war', 'action', 'history', 'romance']"
21,"['drama', 'thriller', 'crime']"
22,"['drama', 'action', 'romance', 'thriller']"
23,['drama']
24,"['drama', 'thriller', 'crime', 'history']"
25,"['comedy', 'drama']"
26,['fantasy']
27,"['drama', 'comedy', 'romance', 'action', 'crime']"
28,"['romance', 'crime', 'drama']"
29,['comedy']
30,"['drama', 'crime']"
31,['romance']
32,['comedy']
33,['comedy']
34,['comedy']
35,"['comedy', 'drama', 'romance']"
36,['drama']
37,['documentation']
38,['documentation']
39,['drama']
40,"['romance', 'crime', 'drama']"
41,"['drama', 'action', 'romance', 'family', 'fantasy']"
42,"['romance', 'comedy', 'drama']"
43,['romance']
44,"['drama', 'romance', 'action']"
45,"['drama', 'crime', 'thriller']"
46,"['drama', 'action']"
47,['comedy']
48,['drama']
49,"['drama', 'crime', 'european']"
50,"['romance', 'comedy', 'drama']"
51,"['scifi', 'action', 'comedy', 'family']"
52,"['drama', 'war']"
53,"['horror', 'thriller', 'european']"
54,['horror']
55,"['action', 'scifi', 'crime', 'drama']"
56,"['drama', 'european']"
57,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']"
58,"['drama', 'family', 'comedy']"
59,"['horror', 'fantasy', 'thriller']"
60,"['comedy', 'romance', 'family']"
61,"['comedy', 'romance']"
62,"['comedy', 'documentation']"
63,"['drama', 'romance']"
64,['family']
65,"['comedy', 'family']"
66,"['comedy', 'animation', 'family', 'crime', 'european']"
67,"['comedy', 'family', 'scifi', 'animation', 'european']"
